,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),San Andreas (Carrizo) rev output,San Andreas (Cholame) rev output,San Andreas (Mojave S) output,San Andreas (Coachella) rev output,San Jacinto (Anza) rev output,Garlock (West) output
436,1,1,1,0,0,0,0,0,0,0,0,0
437,1,1,1,0,1,0,0,0,0,0,0,0
438,1,1,1,0,0,1,0,0,0,0,0,0
439,0,1,0,0,0,0,1,1,0,0,0,0
440,0,0,0,0,0,0,1,1,0,1,0,0
441,1,1,1,1,1,0,0,1,0,0,0,0
442,0,0,1,0,0,0,1,1,0,0,0,0
443,1,1,1,0,0,0,0,0,0,0,0,0
444,0,0,0,0,0,0,0,0,0,0,1,0
445,1,1,1,1,0,0,0,0,0,0,0,1
446,1,1,1,0,0,0,0,0,0,0,0,0
447,0,0,0,1,0,0,1,1,1,0,0,0
448,1,1,1,0,0,0,0,0,0,0,0,0
449,0,0,0,0,0,1,1,1,1,1,0,0
450,1,1,0,0,0,0,0,0,0,0,0,0
451,0,1,0,1,0,0,0,0,0,0,0,0
452,1,1,0,0,0,0,0,0,0,0,0,0
453,1,1,1,1,0,0,0,0,0,0,0,0
454,1,1,1,1,0,0,0,1,0,0,0,0
455,0,0,0,0,0,0,1,1,1,0,0,0
456,0,0,0,1,0,0,1,0,1,0,0,0
457,1,1,1,1,1,0,0,0,0,0,0,0
458,0,0,0,1,0,0,0,0,0,0,0,0
459,0,0,1,0,0,1,0,0,0,0,0,0
460,0,0,1,0,1,1,1,1,0,0,0,0
461,0,0,1,0,1,0,1,1,0,0,0,0
462,1,1,0,0,0,0,0,0,1,0,0,0
463,1,1,1,0,0,0,0,0,0,0,0,0
464,1,1,0,0,0,0,0,0,1,0,0,0
465,1,1,0,0,0,0,0,0,1,1,0,0
466,1,1,1,0,0,0,0,0,0,0,0,0
467,1,0,1,1,0,1,0,1,0,0,0,0
468,1,1,1,0,0,0,0,0,0,0,0,0
469,0,0,1,1,0,0,0,0,0,0,0,0
