,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),San Andreas (Carrizo) rev output,San Andreas (Cholame) rev output,San Andreas (Mojave S) output,San Andreas (Coachella) rev output,San Jacinto (Anza) rev output,Garlock (West) output
432,1,1,1,0,0,0,0,0,0,0,0,0
433,1,1,0,0,1,0,0,0,0,0,0,0
434,1,0,1,1,0,0,0,0,0,0,0,0
435,1,1,1,0,0,0,0,0,0,0,0,0
436,0,0,0,1,0,0,1,1,0,0,1,0
437,0,0,1,0,0,0,1,1,0,0,0,0
438,0,0,0,0,0,0,0,0,1,1,0,0
439,1,1,0,0,0,0,0,0,0,0,0,0
440,0,0,1,0,1,1,1,1,0,0,0,0
441,0,0,0,1,0,0,1,1,1,0,0,0
442,0,0,0,0,0,0,0,0,0,0,0,0
443,1,1,1,0,1,0,0,0,0,0,0,0
444,1,1,1,1,0,0,0,0,0,0,0,0
445,0,0,0,0,0,0,0,0,0,0,0,0
446,1,1,1,1,1,1,0,0,0,0,0,0
447,1,1,0,0,0,0,0,0,1,0,0,0
448,0,0,0,0,0,0,1,1,0,1,0,0
449,0,0,1,0,1,0,0,0,0,0,0,0
450,1,1,0,0,0,1,0,0,0,0,0,0
451,1,1,1,1,0,0,0,0,0,0,0,0
452,0,0,0,0,0,0,1,1,1,0,1,0
453,0,0,0,0,0,0,0,0,0,0,0,0
454,1,1,1,1,0,0,0,0,0,0,0,0
455,1,1,0,0,1,0,0,0,0,0,0,0
456,0,0,1,1,0,1,0,0,0,0,0,0
457,1,1,0,0,0,0,0,0,1,0,0,1
458,1,1,0,1,1,0,0,0,0,0,0,0
459,1,0,1,0,0,0,1,1,0,0,0,0
460,0,0,0,0,0,1,0,0,0,0,0,0
461,1,1,1,1,0,0,0,0,0,0,0,0
462,1,1,1,0,1,0,0,0,0,0,0,0
463,0,0,0,1,0,0,1,1,1,0,0,0
464,0,0,0,0,0,0,0,0,0,0,0,0
465,1,1,1,0,1,0,0,0,0,0,0,0
466,0,0,0,1,0,1,1,1,1,0,0,0
467,0,0,0,0,1,0,0,0,0,0,0,0
468,1,1,1,1,0,0,0,0,0,0,0,0
469,1,1,1,0,0,0,0,0,0,0,0,0
470,0,0,0,0,1,0,0,0,0,1,0,0
471,1,1,1,0,0,1,0,0,0,0,0,0
472,1,1,1,0,0,0,0,0,0,0,0,0
473,0,0,0,1,0,0,1,1,1,0,1,0
474,0,0,0,0,0,0,0,0,0,0,0,0
475,1,1,1,0,0,0,0,0,0,1,0,0
476,0,0,0,0,1,0,1,1,1,0,0,1
477,0,0,0,0,0,0,0,0,0,0,1,0
478,1,1,1,1,0,0,0,0,0,0,0,0
479,0,0,0,0,1,0,1,1,1,0,0,0
480,0,0,0,0,0,0,0,0,0,1,0,0
481,1,1,1,0,0,0,0,0,0,0,0,0
482,1,1,1,0,1,0,0,0,0,0,0,0
483,0,0,0,1,0,1,1,1,1,0,0,0
484,0,0,0,0,0,0,0,0,0,0,1,0
485,1,1,1,0,0,1,0,0,0,1,0,0
486,1,1,0,0,0,0,0,0,0,0,0,0
487,0,0,1,0,0,1,1,1,0,0,0,0
488,0,0,0,1,1,0,0,0,0,0,0,0
489,1,1,1,0,0,0,0,0,0,0,0,0
490,1,1,1,1,0,0,0,0,0,0,0,0
491,0,0,0,0,1,0,0,0,0,0,0,0
492,1,1,1,0,0,0,0,0,0,0,0,0
493,1,1,1,1,0,1,0,0,0,0,0,0
494,0,0,0,0,1,0,0,0,0,0,0,0
