,s0,s1,s2,s3,s4,s5,q0,q1,q2,q3,q4,q5
404,1,1,0,0,0,0,0,0,0,0,0,0
405,1,1,0,0,0,0,0,0,0,0,0,0
406,1,1,0,0,0,0,0,0,0,0,0,0
407,1,1,0,0,0,0,0,0,1,1,0,1
408,1,1,1,1,0,1,0,0,0,0,0,0
409,0,0,1,1,0,1,0,0,0,0,0,0
410,0,0,1,1,0,1,0,0,0,0,0,0
411,0,0,1,1,0,1,0,0,0,0,0,0
412,0,0,1,1,0,1,0,0,0,0,0,0
413,0,0,1,1,0,1,0,0,0,0,1,0
414,0,0,1,1,1,1,0,0,0,0,0,0
415,0,0,1,1,1,1,0,0,0,0,0,0
416,0,0,1,1,1,1,0,0,0,0,0,0
417,0,0,1,1,1,1,1,1,0,0,0,0
418,1,1,0,0,1,0,0,0,0,0,0,0
419,1,1,0,0,1,0,0,0,0,0,0,0
420,1,1,0,0,1,0,0,0,0,0,0,0
421,1,1,0,0,1,0,0,0,0,0,0,0
422,1,1,0,0,1,0,0,0,0,0,0,0
423,1,1,0,0,1,0,0,0,0,0,0,0
424,1,1,0,0,0,0,0,0,0,0,0,0
425,1,1,0,0,0,0,0,0,0,0,0,0
426,1,1,0,0,0,0,0,0,0,0,0,0
427,1,1,0,0,0,0,0,0,0,0,0,0
428,0,0,0,0,0,0,0,0,1,0,0,0
429,0,0,1,0,0,0,0,0,0,0,0,0
430,0,0,1,0,0,0,0,0,0,0,0,0
431,0,0,1,0,0,0,0,0,0,0,0,0
432,0,0,1,0,0,0,1,1,0,0,0,0
433,1,1,1,0,0,0,0,0,0,0,0,0
434,1,1,1,0,0,0,0,0,0,0,0,0
435,1,1,1,0,0,0,0,0,0,0,0,0
436,1,1,1,0,0,0,0,0,0,0,0,0
437,1,1,1,0,0,0,0,0,0,0,0,0
438,1,1,1,0,0,0,0,0,0,0,0,0
439,1,1,0,0,0,0,0,0,0,0,0,0
440,1,1,0,0,0,0,0,0,0,0,0,0
441,1,1,0,0,0,0,0,0,0,1,0,0
442,1,1,0,1,0,0,0,0,0,0,0,0
443,0,0,0,1,0,0,0,0,0,0,0,0
444,0,0,0,1,0,0,0,0,0,0,0,0
445,0,0,0,1,0,0,0,1,0,0,0,0
446,0,1,0,1,0,0,0,0,0,0,0,0
447,0,1,0,1,0,0,0,0,0,0,0,0
448,0,1,0,1,0,0,0,0,0,0,0,0
449,0,1,0,1,0,0,0,0,1,0,0,0
450,0,1,1,1,0,0,1,1,0,0,0,0
451,1,2,1,1,0,0,0,0,0,0,0,0
452,1,2,1,0,0,0,0,0,0,0,0,0
453,1,2,1,0,0,0,0,0,0,0,0,1
454,1,2,1,0,0,1,0,0,0,0,0,0
455,1,2,1,0,0,1,0,0,0,0,0,0
456,1,1,1,0,0,1,0,0,0,0,1,0
457,1,1,1,0,1,1,0,0,0,0,0,0
458,1,1,1,0,1,1,0,0,0,0,0,0
459,1,1,1,0,1,1,0,0,0,0,0,0
460,1,1,0,0,1,1,0,0,0,0,0,0
461,0,0,0,0,1,1,0,0,0,0,0,0
462,0,0,0,0,1,1,0,0,0,0,0,0
463,0,0,0,0,1,1,1,1,0,0,0,0
464,1,1,0,0,1,0,0,0,0,0,0,0
465,1,1,0,0,1,0,0,0,0,0,0,0
466,1,1,0,0,1,0,0,0,0,0,0,0
467,1,1,0,0,0,0,0,0,0,0,0,0
468,1,1,0,0,0,0,0,0,0,0,0,0
469,1,1,0,0,0,0,0,0,0,0,0,0
470,1,1,0,0,0,0,0,0,0,0,0,0
471,1,1,0,0,0,0,1,0,1,1,0,0
472,2,1,1,1,0,0,0,0,0,0,0,0
473,2,1,1,1,0,0,0,0,0,0,0,0
474,1,0,1,1,0,0,0,0,0,0,0,0
475,1,0,1,1,0,0,0,0,0,0,0,0
476,1,0,1,1,0,0,0,0,0,0,0,0
